id,name,name_cn,category,keywords,source_path,description,props_summary
1,Bubble,对话气泡,ai-core,"bubble,chat,message,conversation,ai,user",src/Bubble/,对话气泡组件支持AI和用户模式,"content,thoughtChain,status,avatar,streaming"
2,AIBubble,AI气泡,ai-core,"ai,assistant,bot,response,thought chain",src/Bubble/,AI回复气泡带思维链支持,"content,thoughtChain,status,onStreamEnd"
3,UserBubble,用户气泡,ai-core,"user,human,question,input",src/Bubble/,用户消息气泡,"content,avatar,timestamp"
4,ThoughtChainList,思维链列表,ai-core,"thought,thinking,reasoning,chain,step,process",src/ThoughtChainList/,展示AI思考-行动-观察推理过程,"items,collapsed,onToggle"
5,ToolUseBar,工具调用栏,ai-core,"tool,api,call,function,action,execute",src/ToolUseBar/,工具调用状态和结果展示,"name,status,params,result,costMillis"
6,ToolUseBarThink,工具调用思考,ai-core,"tool,think,reasoning",src/ToolUseBarThink/,工具调用思考过程展示,"content,status"
7,TaskList,任务列表,ai-core,"task,step,progress,todo,checklist",src/TaskList/,多步骤任务状态展示,"items,onItemClick"
8,AnswerAlert,回答提示,ai-core,"alert,result,status,success,error,warning",src/AnswerAlert/,结果状态提示组件,"type,title,content,icon"
9,AgentRunBar,智能体运行栏,ai-core,"agent,run,play,pause,stop,control,status",src/AgentRunBar/,智能体运行状态控制栏支持播放暂停停止,"state,onPlay,onPause,onStop"
10,MarkdownEditor,Markdown编辑器,editor,"markdown,editor,rich text,wysiwyg,content",src/MarkdownEditor/,支持流式输出的Markdown编辑器,"value,onChange,streaming,plugins,toolbar"
11,MarkdownInputField,Markdown输入框,editor,"input,multimodal,voice,file,attachment,send",src/MarkdownInputField/,多模态输入框支持语音文件,"onSend,placeholder,enableVoice,enableAttachment"
12,SchemaForm,Schema表单,editor,"form,schema,json,dynamic,auto",src/Schema/,基于JSON Schema自动生成表单,"schema,value,onChange,onSubmit"
13,AgenticLayout,智能体布局,layout,"layout,agentic,app,structure,frame",src/AgenticLayout/,智能体应用标准布局框架,"sider,header,children"
14,ChatLayout,对话布局,layout,"chat,layout,conversation,messages",src/ChatLayout/,对话界面布局,"messages,input,header"
15,ChatBootPage,对话启动页,layout,"boot,start,landing,welcome,init",src/ChatBootPage/,对话应用启动引导页面,"title,description,onStart"
16,Workspace,工作区,layout,"workspace,panel,tab,browser,file,task",src/Workspace/,多标签工作台面板,"tabs,activeKey,onTabChange,onClose"
17,History,历史记录,utility,"history,conversation,session,list",src/History/,会话历史记录管理,"items,onSelect,onDelete,onNew"
18,WelcomeMessage,欢迎消息,utility,"welcome,greeting,start,guide,suggestion",src/WelcomeMessage/,应用启动欢迎语引导,"title,suggestions,onSuggestionClick"
19,SuggestionList,建议列表,utility,"suggestion,recommend,option,next",src/Components/SuggestionList/,下一步操作建议列表,"items,onSelect"
20,Loading,加载状态,utility,"loading,spinner,wait,progress",src/Components/Loading/,加载指示器和动画,"size,text,spinning"
21,TextLoading,文字加载,utility,"loading,text,typing,animation",src/Components/Loading/,带文字的加载动画,"text"
22,Robot,机器人头像,utility,"robot,avatar,bot,ai,animation",src/Components/Robot/,带状态的机器人头像动画,"state,size"
23,AILabel,AI标签,utility,"ai,label,badge,indicator",src/AILabel/,AI生成内容标识,"children"
24,BackTo,返回顶部,utility,"back,top,scroll,navigation",src/BackTo/,返回顶部/底部按钮,"direction,visible"
25,Quote,引用,utility,"quote,citation,reference",src/Quote/,引用内容展示,"content,source"
26,LayoutHeader,布局头部,layout,"header,title,navigation,toolbar",src/Components/LayoutHeader/,布局头部组件,"title,logo,actions"
27,ActionIconBox,操作图标盒,utility,"action,icon,button,toolbar",src/Components/ActionIconBox/,图标操作按钮容器,"items,onItemClick"
28,ActionItemBox,操作项容器,utility,"action,item,box,container",src/Components/ActionItemBox/,操作项容器组件,"children,onClick"
29,IconButton,图标按钮,utility,"icon,button,click,action",src/Components/Button/IconButton/,图标按钮组件,"icon,onClick,size,disabled"
30,SwitchButton,切换按钮,utility,"switch,toggle,button,on,off",src/Components/Button/SwitchButton/,切换状态按钮,"checked,onChange,disabled"
31,ToggleButton,切换按钮,utility,"toggle,button,active,select",src/Components/Button/ToggleButton/,可激活切换按钮,"active,onToggle,children"
32,GradientText,渐变文字,utility,"gradient,text,color,animation",src/Components/GradientText/,渐变色文字效果组件,"children,colors,animated"
33,TextAnimate,文字动画,utility,"text,animate,effect,transition",src/Components/TextAnimate/,文字动画效果组件,"children,type,duration"
34,TypingAnimation,打字动画,utility,"typing,animation,typewriter,effect",src/Components/TypingAnimation/,打字机效果动画组件,"text,speed,onComplete"
35,VisualList,视觉列表,utility,"visual,list,display,grid",src/Components/VisualList/,视觉化列表展示组件,"items,renderItem,columns"
36,EffectPlayer,特效播放器,utility,"effect,lottie,animation,player",src/Components/effects/,特效动画播放器,"animationData,loop,autoplay"
37,I18n,国际化,utility,"i18n,locale,language,translate",src/I18n/,国际化多语言支持组件,"locale,messages,children"
