UI_Category,Recommended_Pattern,Style_Priority,Component_Priority,Hook_Priority,Plugin_Priority,Token_Priority,Key_Effects,Anti_Patterns,Severity
chat-interface,ChatLayout + Bubble + Input,clean+minimal+accessible,"Bubble,ChatLayout,MarkdownInputField,History","useAutoScroll,useLanguage",,colorBgContainer+colorText+padding+borderRadius,Smooth scroll to bottom,Hardcoded colors+Inline styles+Missing loading states,HIGH
ai-assistant,AgenticLayout + AIBubble + ThoughtChain,modern+glassmorphism+dark-mode,"AIBubble,ThoughtChainList,ToolUseBar,WelcomeMessage","useAutoScroll,useSpeechSynthesis",,colorPrimary+colorSuccess+motionDurationMid,Typing animation + streaming text,No thought chain for AI+Missing streaming support+No tool call visibility,HIGH
thinking-process,ThoughtChainList + TaskList,hierarchical+progressive+collapsible,"ThoughtChainList,TaskList,ToolUseBar",,,colorTextSecondary+paddingSM+borderRadiusSM,Collapse/expand animation,Flat display without hierarchy+No status indicators+Missing cost/time info,MEDIUM
tool-calling,ToolUseBar + AnswerAlert,expandable+technical+detailed,"ToolUseBar,ToolUseBarThink,AnswerAlert",,,colorInfo+colorSuccess+colorError,Status transitions,No params display+Missing result preview+No error handling display,HIGH
markdown-editing,MarkdownEditor + Toolbar,clean+readable+focused,"MarkdownEditor,MarkdownInputField",,"code,katex,mermaid,chart",fontSize+lineHeight+colorText,Smooth cursor + live preview,No plugin support+Missing toolbar+No streaming capability,MEDIUM
workspace-panel,Workspace + Tabs,tabbed+resizable+responsive,"Workspace,Workspace.Browser,Workspace.File,Workspace.Task","useElementSize",,colorBgElevated+boxShadow+borderRadius,Tab switching animation,Fixed size+No tab management+Missing close functionality,MEDIUM
task-management,TaskList + Progress,list+status-driven+interactive,"TaskList,ThoughtChainList",,,colorSuccess+colorWarning+colorError,Status change animation,No status colors+Missing progress indication+Static display,MEDIUM
history-management,History + HistoryList,list+searchable+grouped,"History,History.HistoryList,History.HistoryItem","useClickAway",,colorBgContainer+colorBorder+paddingSM,Slide-in animation,No search+No grouping+Missing delete functionality,LOW
welcome-onboarding,WelcomeMessage + Suggestions,friendly+clean+inviting,"WelcomeMessage,SuggestionList",,,colorPrimary+fontSizeLG+paddingLG,Fade-in animation,No suggestions+Missing call-to-action+Too much text,LOW
loading-feedback,Loading + Robot,animated+informative+non-blocking,"Loading,TextLoading,Robot",,,colorPrimary+motionDurationMid,Pulse animation,No loading text+Blocking UI+Infinite without timeout,MEDIUM
data-visualization,MarkdownEditor + chart,clear+labeled+interactive,"MarkdownEditor",,chart,colorPrimary+colorSuccess+colorWarning+colorError,Chart animations,No legends+Missing labels+Poor color contrast,MEDIUM
code-display,MarkdownEditor + code,monospace+dark-theme+line-numbers,"MarkdownEditor",,code,fontSizeSM+borderRadius,Syntax highlighting,No line numbers+No copy button+Poor syntax colors,LOW
math-formula,MarkdownEditor + katex,readable+centered+formatted,"MarkdownEditor",,katex,fontSize+lineHeight,Render animation,Raw latex display+Broken rendering+Poor spacing,LOW
diagram-flowchart,MarkdownEditor + mermaid,clear+responsive+interactive,"MarkdownEditor",,mermaid,colorPrimary+colorBgContainer,Diagram zoom,Text overflow+No zoom+Broken on mobile,LOW
agentic-layout,AgenticLayout + ChatLayout,responsive+sidebar+header-content,"AgenticLayout,ChatLayout,LayoutHeader","useElementSize",,colorBgLayout+colorBgContainer+paddingLG,Responsive transitions,Fixed layout+No responsive+Missing header,HIGH
